reporting_month,ingestion_date,product_group,footprint,customer_type,churn_value,reporting_kpi,forecast_date
2025-01-01,2025-01-06,Broadband,KD,Bad_Payer,13,ACTUAL,
2025-01-01,2025-01-06,Broadband,KD,Regular,78,ACTUAL,
2025-01-01,2025-01-06,Broadband,UM,Regular,23,ACTUAL,
2025-01-01,2025-01-06,DSL,DSL,Bad_Payer,9,ACTUAL,
2025-01-01,2025-01-06,DSL,DSL,Move,10,ACTUAL,
2025-01-01,2025-01-06,DSL,DSL,Regular,53,ACTUAL,
2025-01-01,2025-01-06,Fiber,Fiber,Irregular,34,ACTUAL,
2025-01-01,2025-01-06,Fiber,Fiber,Move,5,ACTUAL,
2025-01-01,2025-01-06,Fiber,Fiber,Regular,44,ACTUAL,
2025-01-01,2025-01-13,Broadband,KD,Bad_Payer,15,ACTUAL,
2025-01-01,2025-01-13,Broadband,KD,Regular,34,ACTUAL,
2025-01-01,2025-01-13,Broadband,UM,Regular,46,ACTUAL,
2025-01-01,2025-01-13,DSL,DSL,Bad_Payer,17,ACTUAL,
2025-01-01,2025-01-13,DSL,DSL,Move,5,ACTUAL,
2025-01-01,2025-01-13,DSL,DSL,Regular,18,ACTUAL,
2025-01-01,2025-01-13,Fiber,Fiber,Bad_Payer,35,ACTUAL,
2025-01-01,2025-01-13,Fiber,Fiber,Irregular,25,ACTUAL,
2025-01-01,2025-01-13,Fiber,Fiber,Regular,80,ACTUAL,
2025-01-01,2025-01-20,Broadband,KD,Bad_Payer,24,ACTUAL,
2025-01-01,2025-01-20,Broadband,KD,Regular,18,ACTUAL,
2025-01-01,2025-01-20,Broadband,UM,Irregular,11,ACTUAL,
2025-01-01,2025-01-20,Broadband,UM,Move,6,ACTUAL,
2025-01-01,2025-01-20,Broadband,UM,Regular,65,ACTUAL,
2025-01-01,2025-01-20,DSL,DSL,Irregular,9,ACTUAL,
2025-01-01,2025-01-20,DSL,DSL,Regular,65,ACTUAL,
2025-01-01,2025-01-20,Fiber,Fiber,Bad_Payer,23,ACTUAL,
2025-01-01,2025-01-20,Fiber,Fiber,Irregular,8,ACTUAL,
2025-01-01,2025-01-20,Fiber,Fiber,Regular,107,ACTUAL,
2025-01-01,2025-01-27,Broadband,KD,Irregular,15,ACTUAL,
2025-01-01,2025-01-27,Broadband,KD,Regular,18,ACTUAL,
2025-01-01,2025-01-27,Broadband,UM,Irregular,10,ACTUAL,
2025-01-01,2025-01-27,Broadband,UM,Regular,22,ACTUAL,
2025-01-01,2025-01-27,DSL,DSL,Bad_Payer,9,ACTUAL,
2025-01-01,2025-01-27,DSL,DSL,Irregular,7,ACTUAL,
2025-01-01,2025-01-27,DSL,DSL,Move,7,ACTUAL,
2025-01-01,2025-01-27,DSL,DSL,Regular,24,ACTUAL,
2025-01-01,2025-01-27,Fiber,Fiber,Bad_Payer,11,ACTUAL,
2025-01-01,2025-01-27,Fiber,Fiber,Irregular,15,ACTUAL,
2025-01-01,2025-01-27,Fiber,Fiber,Regular,35,ACTUAL,
2025-02-01,2025-02-03,Broadband,KD,Bad_Payer,14,ACTUAL,
2025-02-01,2025-02-03,Broadband,KD,Irregular,8,ACTUAL,
2025-02-01,2025-02-03,Broadband,KD,Regular,44,ACTUAL,
2025-02-01,2025-02-03,Broadband,UM,Regular,17,ACTUAL,
2025-02-01,2025-02-03,DSL,DSL,Bad_Payer,20,ACTUAL,
2025-02-01,2025-02-03,DSL,DSL,Irregular,14,ACTUAL,
2025-02-01,2025-02-03,DSL,DSL,Regular,57,ACTUAL,
2025-02-01,2025-02-03,Fiber,Fiber,Bad_Payer,41,ACTUAL,
2025-02-01,2025-02-03,Fiber,Fiber,Irregular,24,ACTUAL,
2025-02-01,2025-02-03,Fiber,Fiber,Regular,15,ACTUAL,
2025-02-01,2025-02-10,Broadband,KD,Bad_Payer,52,ACTUAL,
2025-02-01,2025-02-10,Broadband,KD,Regular,72,ACTUAL,
2025-02-01,2025-02-10,Broadband,UM,Bad_Payer,10,ACTUAL,
2025-02-01,2025-02-10,Broadband,UM,Regular,16,ACTUAL,
2025-02-01,2025-02-10,DSL,DSL,Bad_Payer,19,ACTUAL,
2025-02-01,2025-02-10,DSL,DSL,Irregular,23,ACTUAL,
2025-02-01,2025-02-10,DSL,DSL,Move,3,ACTUAL,
2025-02-01,2025-02-10,DSL,DSL,Regular,33,ACTUAL,
2025-02-01,2025-02-10,Fiber,Fiber,Bad_Payer,13,ACTUAL,
2025-02-01,2025-02-10,Fiber,Fiber,Irregular,7,ACTUAL,
2025-02-01,2025-02-10,Fiber,Fiber,Regular,87,ACTUAL,
2025-02-01,2025-02-17,Broadband,KD,Regular,65,ACTUAL,
2025-02-01,2025-02-17,Broadband,UM,Bad_Payer,22,ACTUAL,
2025-02-01,2025-02-17,Broadband,UM,Regular,21,ACTUAL,
2025-02-01,2025-02-17,DSL,DSL,Bad_Payer,15,ACTUAL,
2025-02-01,2025-02-17,DSL,DSL,Irregular,6,ACTUAL,
2025-02-01,2025-02-17,DSL,DSL,Regular,27,ACTUAL,
2025-02-01,2025-02-17,Fiber,Fiber,Bad_Payer,27,ACTUAL,
2025-02-01,2025-02-17,Fiber,Fiber,Irregular,6,ACTUAL,
2025-02-01,2025-02-17,Fiber,Fiber,Regular,37,ACTUAL,
2025-02-01,2025-02-24,Broadband,KD,Irregular,15,ACTUAL,
2025-02-01,2025-02-24,Broadband,KD,Regular,53,ACTUAL,
2025-02-01,2025-02-24,Broadband,UM,Bad_Payer,12,ACTUAL,
2025-02-01,2025-02-24,Broadband,UM,Regular,95,ACTUAL,
2025-02-01,2025-02-24,DSL,DSL,Bad_Payer,11,ACTUAL,
2025-02-01,2025-02-24,DSL,DSL,Irregular,34,ACTUAL,
2025-02-01,2025-02-24,DSL,DSL,Regular,168,ACTUAL,
2025-02-01,2025-02-24,Fiber,Fiber,Bad_Payer,24,ACTUAL,
2025-02-01,2025-02-24,Fiber,Fiber,Irregular,14,ACTUAL,
2025-02-01,2025-02-24,Fiber,Fiber,Regular,50,ACTUAL,
2025-03-01,2025-03-03,Broadband,KD,Bad_Payer,34,ACTUAL,
2025-03-01,2025-03-03,Broadband,KD,Irregular,19,ACTUAL,
2025-03-01,2025-03-03,Broadband,KD,Regular,21,ACTUAL,
2025-03-01,2025-03-03,DSL,DSL,Bad_Payer,17,ACTUAL,
2025-03-01,2025-03-03,DSL,DSL,Irregular,22,ACTUAL,
2025-03-01,2025-03-03,DSL,DSL,Move,6,ACTUAL,
2025-03-01,2025-03-03,DSL,DSL,Regular,38,ACTUAL,
2025-03-01,2025-03-03,Fiber,Fiber,Regular,79,ACTUAL,
2025-03-01,2025-03-10,Broadband,KD,Regular,21,ACTUAL,
2025-03-01,2025-03-10,Broadband,UM,Bad_Payer,14,ACTUAL,
2025-03-01,2025-03-10,Broadband,UM,Irregular,37,ACTUAL,
2025-03-01,2025-03-10,Broadband,UM,Regular,21,ACTUAL,
2025-03-01,2025-03-10,DSL,DSL,Regular,128,ACTUAL,
2025-03-01,2025-03-10,Fiber,Fiber,Irregular,45,ACTUAL,
2025-03-01,2025-03-10,Fiber,Fiber,Regular,138,ACTUAL,
2025-03-01,2025-03-17,Broadband,KD,Bad_Payer,5,ACTUAL,
2025-03-01,2025-03-17,Broadband,KD,Irregular,10,ACTUAL,
2025-03-01,2025-03-17,Broadband,KD,Regular,23,ACTUAL,
2025-03-01,2025-03-17,Broadband,UM,Regular,19,ACTUAL,
2025-03-01,2025-03-17,DSL,DSL,Bad_Payer,13,ACTUAL,
2025-03-01,2025-03-17,DSL,DSL,Irregular,48,ACTUAL,
2025-03-01,2025-03-17,DSL,DSL,Regular,38,ACTUAL,
2025-03-01,2025-03-17,Fiber,Fiber,Irregular,20,ACTUAL,
2025-03-01,2025-03-17,Fiber,Fiber,Move,3,ACTUAL,
2025-03-01,2025-03-17,Fiber,Fiber,Regular,81,ACTUAL,
2025-03-01,2025-03-24,Broadband,KD,Regular,90,ACTUAL,
2025-03-01,2025-03-24,Broadband,UM,Move,10,ACTUAL,
2025-03-01,2025-03-24,Broadband,UM,Regular,42,ACTUAL,
2025-03-01,2025-03-24,DSL,DSL,Bad_Payer,9,ACTUAL,
2025-03-01,2025-03-24,DSL,DSL,Irregular,7,ACTUAL,
2025-03-01,2025-03-24,DSL,DSL,Regular,90,ACTUAL,
2025-03-01,2025-03-24,Fiber,Fiber,Bad_Payer,14,ACTUAL,
2025-03-01,2025-03-24,Fiber,Fiber,Irregular,18,ACTUAL,
2025-03-01,2025-03-24,Fiber,Fiber,Regular,98,ACTUAL,
